Level	Experience
1	2000
2	4620
3	8040
4	12489
5	18258
6	25712
7	35309
8	47622
9	63364
10	83419
11	108879
12	141086
13	181683
14	231075
15	313656
16	424067
17	571190
18	766569
19	1025154
20	1366227
21	1814568
22	2401895
23	3168651
24	4166200
25	5459523
26	7130496
27	9281874
28	12042092
29	15571031
30	20066900
31	25774405
32	32994399
33	42095202
34	53525811
35	67831218
36	85670061
37	107834823
38	135274799
39	169122009
40	210720231
41	261657253
42	323800420
43	399335440
44	490808349
45	601170414
46	733825617
47	892680222
48	1082908612
49	1310707109
50	1583495809
