id	flags	path
BrutalHit	Misc	sfx\items\bhit.wav
BrutalHit1	Misc	sfx\items\bhit1.wav
SpellGuardianHit	Misc	sfx\misc\grdlanch.wav
Griswold11	Stream	sfx\towners\bsmith11.wav
Griswold54	Stream	sfx\towners\bsmith54.wav
Duck	Misc,Hellfire	sfx\towners\cow8.wav
Cain32	Stream	sfx\towners\storyt32.wav
Ogden42	Stream	sfx\towners\tavown42.wav
Warrior95b	Stream,Warrior	sfx\warrior\wario95b.wav
Warrior95c	Stream,Warrior	sfx\warrior\wario95c.wav
Warrior95d	Stream,Warrior	sfx\warrior\wario95d.wav
Warrior95e	Stream,Warrior	sfx\warrior\wario95e.wav
Warrior95f	Stream,Warrior	sfx\warrior\wario95f.wav
Izual	Stream	sfx\monsters\izual01.wav
LazarusGreetingShort	Stream	sfx\monsters\laz02.wav
Warlock	Stream	sfx\monsters\wlock01.wav
